Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/api/factorize/1039137903158703521332650183360460783,1,0,668829.3995919958,668829.3995919958,668829.3995919958,668829.3995919958,774.0,0.0007037320212065586,0.0,669000,669000,669000,669000,669000,669000,669000,669000,669000,669000,669000
GET,/api/factorize/1082745516515618627335003,1,0,174380.43973900494,174380.43973900494,174380.43973900494,174380.43973900494,73.0,0.0007037320212065586,0.0,174000,174000,174000,174000,174000,174000,174000,174000,174000,174000,174000
GET,/api/factorize/664398872657467523,1,0,26700.437776002218,26700.437776002218,26700.437776002218,26700.437776002218,67.0,0.0007037320212065586,0.0,27000,27000,27000,27000,27000,27000,27000,27000,27000,27000,27000
GET,/api/factorize/792665042234851453,1,0,33551.22653899889,33551.22653899889,33551.22653899889,33551.22653899889,67.0,0.0007037320212065586,0.0,34000,34000,34000,34000,34000,34000,34000,34000,34000,34000,34000
GET,/api/factorize/808267623222262673580091,1,0,137771.01711300202,137771.01711300202,137771.01711300202,137771.01711300202,73.0,0.0007037320212065586,0.0,138000,138000,138000,138000,138000,138000,138000,138000,138000,138000,138000
GET,/api/factorize/821540805765780943,1,0,31201.265487994533,31201.265487994533,31201.265487994533,31201.265487994533,67.0,0.0007037320212065586,0.0,31000,31000,31000,31000,31000,31000,31000,31000,31000,31000,31000
GET,/api/factorize/855852082054142051,1,0,30038.39944700303,30038.39944700303,30038.39944700303,30038.39944700303,67.0,0.0007037320212065586,0.0,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000
GET,/api/factorize/959645548660089755728171,1,0,163083.76914801192,163083.76914801192,163083.76914801192,163083.76914801192,73.0,0.0007037320212065586,0.0,163000,163000,163000,163000,163000,163000,163000,163000,163000,163000,163000
GET,/api/factorize/977445261467952413278379,1,0,155449.0998149995,155449.0998149995,155449.0998149995,155449.0998149995,73.0,0.0007037320212065586,0.0,155000,155000,155000,155000,155000,155000,155000,155000,155000,155000,155000
,Aggregated,9,0,138000.0,157889.45051744586,26700.437776002218,668829.3995919958,148.22222222222223,0.006333588190859028,0.0,138000,155000,163000,174000,669000,669000,669000,669000,669000,669000,669000
