Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/api/factorize/1039137903158703521332650183360460783,1,1,1489391.744424007,1489391.744424007,1489391.744424007,1489391.744424007,0.0,0.0004625700540355067,0.0004625700540355067,1489000,1489000,1489000,1489000,1489000,1489000,1489000,1489000,1489000,1489000,1489000
GET,/api/factorize/1082745516515618627335003,1,0,145053.2738960028,145053.2738960028,145053.2738960028,145053.2738960028,73.0,0.0004625700540355067,0.0,145000,145000,145000,145000,145000,145000,145000,145000,145000,145000,145000
GET,/api/factorize/664398872657467523,1,0,26323.18139099516,26323.18139099516,26323.18139099516,26323.18139099516,67.0,0.0004625700540355067,0.0,26000,26000,26000,26000,26000,26000,26000,26000,26000,26000,26000
GET,/api/factorize/792665042234851453,1,0,28164.80197600322,28164.80197600322,28164.80197600322,28164.80197600322,67.0,0.0004625700540355067,0.0,28000,28000,28000,28000,28000,28000,28000,28000,28000,28000,28000
GET,/api/factorize/808267623222262673580091,1,0,123993.07227900135,123993.07227900135,123993.07227900135,123993.07227900135,73.0,0.0004625700540355067,0.0,124000,124000,124000,124000,124000,124000,124000,124000,124000,124000,124000
GET,/api/factorize/821540805765780943,1,0,25986.74181899696,25986.74181899696,25986.74181899696,25986.74181899696,67.0,0.0004625700540355067,0.0,26000,26000,26000,26000,26000,26000,26000,26000,26000,26000,26000
GET,/api/factorize/855852082054142051,1,0,30426.61989699991,30426.61989699991,30426.61989699991,30426.61989699991,67.0,0.0004625700540355067,0.0,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000
GET,/api/factorize/959645548660089755728171,1,0,149790.26058599993,149790.26058599993,149790.26058599993,149790.26058599993,73.0,0.0004625700540355067,0.0,150000,150000,150000,150000,150000,150000,150000,150000,150000,150000,150000
GET,/api/factorize/977445261467952413278379,1,0,142687.8733499907,142687.8733499907,142687.8733499907,142687.8733499907,73.0,0.0004625700540355067,0.0,143000,143000,143000,143000,143000,143000,143000,143000,143000,143000,143000
,Aggregated,9,1,124000.0,240201.95217977744,25986.74181899696,1489391.744424007,62.22222222222222,0.00416313048631956,0.0004625700540355067,124000,143000,145000,150000,1489000,1489000,1489000,1489000,1489000,1489000,1489000
